id,LabelValue
http://www.wisski.uni-bayreuth.de/data/66bda6ec504e4,http://www.wikidata.org/entity/Q26988
http://www.wisski.uni-bayreuth.de/data/66bda6ecc01ee,http://www.wikidata.org/entity/Q29520
http://www.wisski.uni-bayreuth.de/data/66bda6ed42a71,http://www.wikidata.org/entity/Q29999
http://www.wisski.uni-bayreuth.de/data/66bda6edb605e,http://www.wikidata.org/entity/Q34020
http://www.wisski.uni-bayreuth.de/data/66bda6ee3fa8c,http://www.wikidata.org/entity/Q44826
http://www.wisski.uni-bayreuth.de/data/66bda6eeb16b1,http://www.wikidata.org/entity/Q47588
http://www.wisski.uni-bayreuth.de/data/66bda6ef48b2d,http://www.wikidata.org/entity/Q219060
http://www.wisski.uni-bayreuth.de/data/66bda6efc66f6,http://www.wikidata.org/entity/Q756617
http://www.wisski.uni-bayreuth.de/data/66bda6f04457f,http://www.wikidata.org/entity/Q854850
http://www.wisski.uni-bayreuth.de/data/66bda6f0b4951,http://www.wikidata.org/entity/Q907234
http://www.wisski.uni-bayreuth.de/data/66bda6f13abe9,http://www.wikidata.org/entity/Q1147441
http://www.wisski.uni-bayreuth.de/data/66bda6f1b7c59,http://www.wikidata.org/entity/Q1926952
http://www.wisski.uni-bayreuth.de/data/66bda6f243b59,http://www.wikidata.org/entity/Q2576045
http://www.wisski.uni-bayreuth.de/data/66bda6f2bcc2f,http://www.wikidata.org/entity/Q227
http://www.wisski.uni-bayreuth.de/data/66bda6f341421,http://www.wikidata.org/entity/Q228
http://www.wisski.uni-bayreuth.de/data/66bda6f3dcd5e,http://www.wikidata.org/entity/Q229
http://www.wisski.uni-bayreuth.de/data/66bda6f468f3e,http://www.wikidata.org/entity/Q232
http://www.wisski.uni-bayreuth.de/data/66bda6f4eed2c,http://www.wikidata.org/entity/Q233
http://www.wisski.uni-bayreuth.de/data/66bda6f57767b,http://www.wikidata.org/entity/Q236
http://www.wisski.uni-bayreuth.de/data/66bda6f6100ea,http://www.wikidata.org/entity/Q237
http://www.wisski.uni-bayreuth.de/data/66bda6f68c644,http://www.wikidata.org/entity/Q241
http://www.wisski.uni-bayreuth.de/data/66bda6f7178cf,http://www.wikidata.org/entity/Q252
http://www.wisski.uni-bayreuth.de/data/66bda6f78c49d,http://www.wikidata.org/entity/Q258
http://www.wisski.uni-bayreuth.de/data/66bda6f81b148,http://www.wikidata.org/entity/Q262
http://www.wisski.uni-bayreuth.de/data/66bda6f89102b,http://www.wikidata.org/entity/Q265
http://www.wisski.uni-bayreuth.de/data/66bda6f921773,http://www.wikidata.org/entity/Q298
http://www.wisski.uni-bayreuth.de/data/66bda6f993b04,http://www.wikidata.org/entity/Q334
http://www.wisski.uni-bayreuth.de/data/66bda6fa4080a,http://www.wikidata.org/entity/Q347
http://www.wisski.uni-bayreuth.de/data/66bda6fad0414,http://www.wikidata.org/entity/Q398
http://www.wisski.uni-bayreuth.de/data/66bda6fb65be1,http://www.wikidata.org/entity/Q399
http://www.wisski.uni-bayreuth.de/data/66bda6fc037ed,http://www.wikidata.org/entity/Q408
http://www.wisski.uni-bayreuth.de/data/66bda6fc7a007,http://www.wikidata.org/entity/Q414
http://www.wisski.uni-bayreuth.de/data/66bda6fd02414,http://www.wikidata.org/entity/Q419
http://www.wisski.uni-bayreuth.de/data/66bda6fd72bbe,http://www.wikidata.org/entity/Q423
http://www.wisski.uni-bayreuth.de/data/66bda6fde8fb2,http://www.wikidata.org/entity/Q424
http://www.wisski.uni-bayreuth.de/data/66bda6fe707bd,http://www.wikidata.org/entity/Q574
http://www.wisski.uni-bayreuth.de/data/66bda6ff15026,http://www.wikidata.org/entity/Q657
http://www.wisski.uni-bayreuth.de/data/66bda6ff901e5,http://www.wikidata.org/entity/Q664
http://www.wisski.uni-bayreuth.de/data/66bda70025ed3,http://www.wikidata.org/entity/Q668
http://www.wisski.uni-bayreuth.de/data/66bda700ae343,http://www.wikidata.org/entity/Q672
http://www.wisski.uni-bayreuth.de/data/66bda70134fba,http://www.wikidata.org/entity/Q683
http://www.wisski.uni-bayreuth.de/data/66bda701afb0b,http://www.wikidata.org/entity/Q685
http://www.wisski.uni-bayreuth.de/data/66bda70235988,http://www.wikidata.org/entity/Q686
http://www.wisski.uni-bayreuth.de/data/66bda702b72e8,http://www.wikidata.org/entity/Q691
http://www.wisski.uni-bayreuth.de/data/66bda70341fd3,http://www.wikidata.org/entity/Q695
http://www.wisski.uni-bayreuth.de/data/66bda703cd0b5,http://www.wikidata.org/entity/Q697
http://www.wisski.uni-bayreuth.de/data/66bda7044adb0,http://www.wikidata.org/entity/Q702
http://www.wisski.uni-bayreuth.de/data/66bda704c152b,http://www.wikidata.org/entity/Q711
http://www.wisski.uni-bayreuth.de/data/66bda7054c505,http://www.wikidata.org/entity/Q712
http://www.wisski.uni-bayreuth.de/data/66bda705ce0a2,http://www.wikidata.org/entity/Q717
http://www.wisski.uni-bayreuth.de/data/66bda70652fdf,http://www.wikidata.org/entity/Q733
http://www.wisski.uni-bayreuth.de/data/66bda706c47ef,http://www.wikidata.org/entity/Q734
http://www.wisski.uni-bayreuth.de/data/66bda70758ef4,http://www.wikidata.org/entity/Q736
http://www.wisski.uni-bayreuth.de/data/66bda707dd7b2,http://www.wikidata.org/entity/Q739
http://www.wisski.uni-bayreuth.de/data/66bda7086c494,http://www.wikidata.org/entity/Q750
http://www.wisski.uni-bayreuth.de/data/66bda708ec052,http://www.wikidata.org/entity/Q754
http://www.wisski.uni-bayreuth.de/data/66bda7096ff44,http://www.wikidata.org/entity/Q757
http://www.wisski.uni-bayreuth.de/data/66bda70a040fc,http://www.wikidata.org/entity/Q760
http://www.wisski.uni-bayreuth.de/data/66bda70a8d52f,http://www.wikidata.org/entity/Q763
http://www.wisski.uni-bayreuth.de/data/66bda70b1cff2,http://www.wikidata.org/entity/Q766
http://www.wisski.uni-bayreuth.de/data/66bda70ba2bb2,http://www.wikidata.org/entity/Q769
http://www.wisski.uni-bayreuth.de/data/66bda70c2b46e,http://www.wikidata.org/entity/Q774
http://www.wisski.uni-bayreuth.de/data/66bda70cb8f20,http://www.wikidata.org/entity/Q778
http://www.wisski.uni-bayreuth.de/data/66bda70d642ac,http://www.wikidata.org/entity/Q781
http://www.wisski.uni-bayreuth.de/data/66bda70de529e,http://www.wikidata.org/entity/Q783
http://www.wisski.uni-bayreuth.de/data/66bda70e747d4,http://www.wikidata.org/entity/Q2578028
http://www.wisski.uni-bayreuth.de/data/66bda70f0aaa9,http://www.wikidata.org/entity/Q2988343
http://www.wisski.uni-bayreuth.de/data/66bda70f836e3,http://www.wikidata.org/entity/Q109534069
http://www.wisski.uni-bayreuth.de/data/66bda71012a8b,http://www.wikidata.org/entity/Q115166787
http://www.wisski.uni-bayreuth.de/data/66bda710931e2,http://www.wikidata.org/entity/Q120088504
http://www.wisski.uni-bayreuth.de/data/66bda71136324,http://www.wikidata.org/entity/Q124153644
http://www.wisski.uni-bayreuth.de/data/66bda711c7449,http://www.wikidata.org/entity/Q124535978
http://www.wisski.uni-bayreuth.de/data/66bda712690e1,http://www.wikidata.org/entity/Q124536190
http://www.wisski.uni-bayreuth.de/data/66bda712ed41d,http://www.wikidata.org/entity/Q125422413
http://www.wisski.uni-bayreuth.de/data/66bda7137a68c,http://www.wikidata.org/entity/Q126325731
http://www.wisski.uni-bayreuth.de/data/66bda713ef53e,http://www.wikidata.org/entity/Q126362486
http://www.wisski.uni-bayreuth.de/data/66bda7147afb0,http://www.wikidata.org/entity/Q126726574
